Altium Designer Pick and Place Locations
D:\Mechatronics\Repositories\Project_S4V_Robot_Kit\Project_BrainX\hardware\S4V_Robot_Brain_V2.0\S4V_Robot_Brain_V2.0\Project Outputs for S4V_Robot_Brain_V2.0\Pick Place\Pick Place for S4V_Robot_Brain_V2.0_PCB.txt

========================================================================================================================
File Design Information:

Date:       14/02/26
Time:       13:48
Revision:   b0153efb06706a5b4ed808ab6269778e9798295b
Variant:    No variations
Units used: mm

Designator Comment                             Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                     
D30        SMAJ5.0A                            TopLayer BOUR-SMA-2_V                95,0750mm    68,0500mm    270      "SMAJ Transient Voltage Suppressor Diode Series, 3.5 V, -55 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"        
B1         ESDALC6V1-5M6                       TopLayer ESDALC6V15M6                106,1250mm   68,7000mm    0        "STMicroelectronics ESDALC6V1-5M6 Quint Uni-Directional TVS Diode, 30W peak, 6-Pin uQFN"                        
A1         ""                                  TopLayer IFA_Antenna                 124,9625mm   74,8018mm    270      ""                                                                                                              
C1         "Capacitor 0.1 uF +/- 5% 16 V 0402" TopLayer CAPC1005X56X25LL10T15       112,5500mm   73,3750mm    270      "Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"                                                      
C2         "Capacitor 0.1 uF +/- 5% 16 V 0402" TopLayer CAPC1005X56X25LL10T15       118,6000mm   72,0600mm    180      "Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"                                                      
C3         "Capacitor 0.1 uF +/- 5% 16 V 0402" TopLayer CAPC1005X56X25LL10T15       118,6000mm   71,1600mm    180      "Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"                                                      
C4         "Capacitor 0.1 uF +/- 5% 16 V 0402" TopLayer CAPC1005X56X25LL10T15       118,5752mm   67,0601mm    90       "Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"                                                      
C5         "Capacitor 0.1 uF +/- 5% 16 V 0402" TopLayer CAPC1005X56X25LL10T15       108,5500mm   63,0500mm    90       "Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"                                                      
C6         "Capacitor 0.1 uF +/- 5% 16 V 0402" TopLayer CAPC1005X56X25LL10T15       109,4500mm   63,0500mm    90       "Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"                                                      
C7         "Capacitor 0.1 uF +/- 5% 16 V 0402" TopLayer CAPC1005X56X25LL10T15       107,9650mm   69,0250mm    0        "Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"                                                      
C8         "Capacitor 0.1 uF +/- 5% 16 V 0402" TopLayer CAPC1005X56X25LL10T15       117,6752mm   67,0601mm    90       "Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"                                                      
C9         "Capacitor 0.1 uF +/- 5% 16 V 0402" TopLayer CAPC1005X56X25LL10T15       109,3500mm   73,1250mm    270      "Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"                                                      
