Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C16, C17, C18, C19, C21, C30, C4",0603,9,100nF,
"C10, C5",0603,2,22uF,
"C11, C6, C8",0603,3,10uF,
C12,0603,1,150pF,
"C13, C24, C27",0603,3,1uF,
"C15, C7",0603,2,20pF,
C2,0805,1,10uF,
C20,0603,1,100mF,
"C28, C29",0603,2,2.2uF,
C3,0805,1,100nF,
C9,0603,1,0.1uF,
"CR1, CR2",SMLVT3V3,2,SMLVT3V3,
"D1, D8",0603,2,RED,
"D10, D9",SOT-23,2,SM712,
"D2, D7",SS34_SMA,2,SS34,
"D3, D4, D5",0603,3,GREEN,
D6,0603,1,BLUE,
J1,AMASS_XT60IPW-M_1x03_P7.20mm_Horizontal,1,VH-3.96-HOR,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Screw_Terminal_01x04,
J4,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,RS485_1,
J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,RS485_2,
J6,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Screw_Terminal_01x04,
L1,L_7.3x7.3_H4.5,1,15uH,
"Q2, Q3",SOT-23,2,PNP,
"R1, R3, R30, R31, R8",0603,5,470,
"R10, R19, R20, R27, R28",0603,5,1k,
"R11, R12",0603,2,100,
"R13, R14",0603,2,5k1,
R15,0603,1,1M,
R2,0603,1,210k,
"R21, R32",0603,2,10k,
"R22, R29",0603,2,120,
"R4, R5, R9",0603,3,100k,
R6,0603,1,24.9k,
R7,0603,1,40.2k,
SW1,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,1,~,
U1,SOT-223-3_TabPin2,1,AMS1117CD-3.3,
U2,MP1584EN,1,MP1584EN,
U3,SOT-23-6,1,USBLC6-2SC6,
"U4, U7",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX3485,
U5,LQFP-100_14x14mm_P0.5mm,1,STM32F407VETx,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,
