Altium Designer Pick and Place Locations
D:\Mechatronics\Repositories\Project_S4V_Robot_Kit\Project_IMU_Sensor_Board\V1.0\hardware\S4V_IMU_Sensor_Module_Board_V1.0\Project Outputs for S4V_IMU_Sensor_Module_Board_V1.0\Pick Place\Pick Place for S4V_IMU_Sensor_Module_Board_V1.0_PCB.txt

========================================================================================================================
File Design Information:

Date:       13/02/26
Time:       23:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                       Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                  
B1         ESDALC6V1-5M6                 TopLayer ESDALC6V15M6                110,7440mm   89,7890mm    270      "STMicroelectronics ESDALC6V1-5M6 Quint Uni-Directional TVS Diode, 30W peak, 6-Pin uQFN"                                                     
D10        SMAJ5.0A                      TopLayer BOUR-SMA-2_V                115,6970mm   89,7890mm    0        "SMAJ Transient Voltage Suppressor Diode Series, 3.5 V, -55 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"                                     
U2         AMS1117-3.3                   TopLayer FP-AMS1117-IPC_C            114,0370mm   70,3300mm    270      "LDO Voltage Regulators 1A, 3.3V"                                                                                                            
BT1        "Nut Nhan 2 Chan SMD 3x6x2.5" TopLayer Nut_Nhan_2_Chan_SMD_3x6x2.5 93,6370mm    86,1300mm    270      "Nut Nhan 2 Chan SMD 3x6x2.5"                                                                                                                
JP1        "JP 1x04"                     TopLayer JP_1x4_DT                   112,9030mm   94,3610mm    180      C?m                                                                                                                                          
C1         20pF                          TopLayer CAP_0603                    91,8158mm    79,0456mm    90       "Capacitor SMD 0603"                                                                                                                         
C2         20pF                          TopLayer CAP_0603                    94,4645mm    76,3011mm    0        "Capacitor SMD 0603"                                                                                                                         
C3         100nF                         TopLayer CAP_0603                    91,5120mm    89,8550mm    180      "Capacitor SMD 0603"                                                                                                                         
C4         10uF                          TopLayer CAP_0603                    108,1531mm   68,0715mm    0        "Capacitor SMD 0603"                                                                                                                         
C5         100nF                         TopLayer CAP_0603                    112,2620mm   75,5800mm    0        "Capacitor SMD 0603"                                                                                                                         
C6         10uF                          TopLayer CAP_0603                    115,5120mm   65,5050mm    180      "Capacitor SMD 0603"                                                                                                                         
C7         100nF                         TopLayer CAP_0603                    112,5120mm   65,5050mm    0        "Capacitor SMD 0603"                                                                                                                         
C8         1uF                           TopLayer CAP_0603                    103,8370mm   68,0800mm    180      "Capacitor SMD 0603"                                                                                                                         
C9         10uF                          TopLayer CAP_0603                    108,9370mm   75,7550mm    180      "Capacitor SMD 0603"                                                                                                                         
C10        100nF                         TopLayer CAP_0603                    98,2370mm    78,7050mm    270      "Capacitor SMD 0603"                                                                                                                         
C11        100nF                         TopLayer CAP_0603                    101,2620mm   86,2800mm    180      "Capacitor SMD 0603"                                                                                                                         
C12        100nF                         TopLayer CAP_0603                    109,4620mm   84,2800mm    180      "Capacitor SMD 0603"                                                                                                                         
C13        100nF                         TopLayer CAP_0603                    97,5620mm    85,6800mm    0        "Capacitor SMD 0603"                                                                                                                         
C14        100nF                         TopLayer CAP_0603                    97,5620mm    84,1800mm    0        "Capacitor SMD 0603"                                                                                                                         
C15        1uF                           TopLayer CAP_0603                    98,2370mm    75,7050mm    90       "Capacitor SMD 0603"                                                                                                                         
C16        100nF                         TopLayer CAP_0603                    109,4620mm   85,8800mm    180      "Capacitor SMD 0603"                                                                                                                         
C17        100nF                         TopLayer CAP_0603                    93,8620mm    91,5550mm    0        "Capacitor SMD 0603"                                                                                                                         
C18        10nF                          TopLayer CAP_0603                    93,8620mm    92,9800mm    0        "Capacitor SMD 0603"                                                                                                                         
C19        2.2nF                         TopLayer CAP_0603                    101,4120mm   89,0050mm    90       "Capacitor SMD 0603"                                                                                                                         
C20        100nF                         TopLayer CAP_0603                    97,5620mm    88,1050mm    0        "Capacitor SMD 0603"                                                                                                                         
D3         RED                           TopLayer LED_0603_RED                119,1120mm   70,1050mm    90       "LED 0603 RED SMD"                                                                                                                           
